biome_name, short_name, abbreviation

"Tropical Rainforest", "Tropical Rain.", "TrRF"
"Tropical Seasonal & Deciduous Forest", "Tropical Decid. Forest", "TrDF"
"Temperate Broadleaved Evergreen Forest", "Temp. Broad. Ever. Forest", "TeBE"
"Temperate Broadleaved Deciduous Forest", "Temp. Broad. Decid. Forest", "TeBD"
"Mixed Forest", "Mixed Forest", "MF"
"Temperate Coniferous Forest", "Temp. Conif. Forest", "TeCF"
"Boreal Evergreen Forest","Bor. Ever. Forest", "BoEF"
"Boreal Deciduous Forest","Bor. Decid. Forest", "BoDF"
"Warm Woody Savanna, Woodland & Shrubland", "Warm Woodland", "WaWo"
"Warm Savanna & Open Shrubland", "Warm Savanna", "WaSa"
"Warm Grassland", "Warm Grassland", "WaGr"
"Temperate Woody Savanna, Woodland & Shrubland", "Temp. Woodland", "TeWo"
"Temperate Savanna & Open Shrubland", "Temp. Savanna", "TeSa"
"Temperate Grassland", "Temp. Grassland", "TeGr"
"Montane Grassland", "Montane Grassland", "MoGr"
"Arctic Tundra", "Arctic Tundra", "ArTu"
"Desert", "Desert", "Des"
"Rocks and Ice", "Rocks and Ice", "RoIc"
"Water", "Water", "Wat"
