pft, category, npft_proxy, lpjml_index

"tropical broadleaved evergreen tree", "trees", 9, 1
"tropical broadleaved evergreen tree", "tropical trees", 9, 1
"tropical broadleaved evergreen tree", "evergreen trees", 9, 1
"tropical broadleaved evergreen tree", "trees", 11, 1
"tropical broadleaved evergreen tree", "tropical trees", 11, 1
"tropical broadleaved evergreen tree", "evergreen trees", 11, 1

"tropical broadleaved raingreen tree", "trees", 9, 2
"tropical broadleaved raingreen tree", "tropical trees", 9, 2
"tropical broadleaved raingreen tree", "trees", 11, 2
"tropical broadleaved raingreen tree", "tropical trees", 11, 2

"temperate needleleaved evergreen tree", "trees", 9, 3
"temperate needleleaved evergreen tree", "temperate trees", 9, 3
"temperate needleleaved evergreen tree", "needle trees", 9, 3
"temperate needleleaved evergreen tree", "evergreen trees", 9, 3
"temperate needleleaved evergreen tree", "trees", 11, 3
"temperate needleleaved evergreen tree", "temperate trees", 11, 3
"temperate needleleaved evergreen tree", "needle trees", 11, 3
"temperate needleleaved evergreen tree", "evergreen trees", 11, 3

"temperate broadleaved evergreen tree", "trees", 9, 4
"temperate broadleaved evergreen tree", "temperate trees", 9, 4
"temperate broadleaved evergreen tree", "evergreen trees", 9, 4
"temperate broadleaved evergreen tree", "trees", 11, 4
"temperate broadleaved evergreen tree", "temperate trees", 11, 4
"temperate broadleaved evergreen tree", "evergreen trees", 11, 4

"temperate broadleaved summergreen tree", "trees", 9, 5
"temperate broadleaved summergreen tree", "temperate trees", 9, 5
"temperate broadleaved summergreen tree", "trees", 11, 5
"temperate broadleaved summergreen tree", "temperate trees", 11, 5

"boreal needleleaved evergreen tree", "trees", 9, 6
"boreal needleleaved evergreen tree", "boreal trees", 9, 6
"boreal needleleaved evergreen tree", "needle trees", 9, 6
"boreal needleleaved evergreen tree", "evergreen trees", 9, 6
"boreal needleleaved evergreen tree", "trees", 11, 6
"boreal needleleaved evergreen tree", "boreal trees", 11, 6
"boreal needleleaved evergreen tree", "needle trees", 11, 6
"boreal needleleaved evergreen tree", "evergreen trees", 11, 6

"boreal broadleaved summergreen tree", "trees", 9, 7
"boreal broadleaved summergreen tree", "boreal trees", 9, 7
"boreal broadleaved summergreen tree", "trees", 11, 7
"boreal broadleaved summergreen tree", "boreal trees", 11, 7

"boreal needleleaved summergreen tree", "trees", 11, 8
"boreal needleleaved summergreen tree", "boreal trees", 11, 8
"boreal needleleaved summergreen tree", "evergreen trees", 11, 8

"tropical c4 grass", "grass", 9, 8
"tropical c4 grass", "grass", 11, 9

"temperate c3 grass", "grass", 9, 9
"temperate c3 grass", "grass", 11, 10

"polar c3 grass", "grass", 11, 11
